"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","Ozone","PM2.5"
2020-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,28.5,52.3333333333333
2020-01-19,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,44.5
2020-01-19,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,22.5
2020-01-19,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,33.5
2020-01-19,"Millbrook School","Wake",35.856111,-78.574167,1,2020,32.5,49.6666666666667
2020-01-19,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,31
2020-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,32,40.5
2020-01-20,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,33
2020-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,14.5
2020-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,41
2020-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,40.6666666666667
2020-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,40,6
2020-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,32,30
2020-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,31
2020-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,18.5
2020-01-20,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,8
2020-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,21.5
2020-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,2020,35,38
2020-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,30.3333333333333
2020-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,35,27
2020-01-21,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,39.5
2020-01-21,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,6
2020-01-21,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,26
2020-01-21,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,29
2020-01-21,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,44,4
2020-01-21,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,34,29.75
2020-01-21,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,24.6666666666667
2020-01-21,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,11.5
2020-01-21,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,6
2020-01-21,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,NA,23.5
2020-01-21,"Millbrook School","Wake",35.856111,-78.574167,1,2020,35.5,35
2020-01-21,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,19.3333333333333
2020-01-21,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,36,27
2020-01-22,"Bryson City","Swain",35.434767,-83.442133,1,2020,NA,44
2020-01-22,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,NA,15
2020-01-22,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,NA,45.5
2020-01-22,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,NA,49.5
2020-01-22,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,34,37
2020-01-22,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,NA,38.5
2020-01-22,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,22.5
